Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Keystone_106_1x20mm",-0.984252,1.968504,-55.000000,bottom
"J1","Power_inlet_vertical","Wurth-694106402002",-3.273774,1.492411,136.000000,bottom
"J2","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",-2.442323,1.809843,90.000000,bottom
"C1","C_0805_0.1uf","C_0805_2012Metric",2.292323,2.009843,-90.000000,top
"C2","C_0805_1uf","C_0805_2012Metric",3.543307,1.968504,-39.000000,top
"C3","C_0805_0.1uf","C_0805_2012Metric",3.217323,1.684843,-41.000000,top
"C4","C_0805_22pf","C_0805_2012Metric",2.598425,1.850394,180.000000,top
"C5","C_0805_0.1uf","C_0805_2012Metric",2.392323,2.634843,90.000000,top
"C6","C_0805_22pf","C_0805_2012Metric",2.755906,1.850394,180.000000,top
"C7","C_0805_0.1uf","C_0805_2012Metric",1.742323,2.009843,90.000000,top
"C38","C_0805_0.1uf","C_0805_2012Metric",2.106982,0.253016,-108.000000,top
"C39","C_0805_0.1uf","C_0805_2012Metric",0.715952,1.039240,-142.000000,top
"C40","C_0805_0.1uf","C_0805_2012Metric",1.992323,3.834843,-87.000000,top
"C41","C_0805_0.1uf","C_0805_2012Metric",3.442323,2.359843,3.000000,top
"C42","C_0805_0.1uf","C_0805_2012Metric",3.769076,0.833915,-46.000000,top
"C43","C_0805_0.1uf","C_0805_2012Metric",3.842323,2.009843,169.000000,top
"C44","C_0805_0.1uf","C_0805_2012Metric",1.217323,2.709843,162.000000,top
"C45","C_0805_0.1uf","C_0805_2012Metric",2.965986,1.461179,-45.000000,top
"C46","C_0805_0.1uf","C_0805_2012Metric",0.417323,1.534843,-158.000000,top
"C47","C_0805_0.1uf","C_0805_2012Metric",0.992323,3.134843,-33.000000,top
"C48","C_0805_0.1uf","C_0805_2012Metric",3.792323,2.859843,-158.000000,top
"C49","C_0805_0.1uf","C_0805_2012Metric",3.317323,0.509843,-54.000000,top
"C50","C_0805_0.1uf","C_0805_2012Metric",1.141732,0.649606,-126.000000,top
"C51","C_0805_0.1uf","C_0805_2012Metric",2.167323,1.259843,180.000000,top
"C52","C_0805_0.1uf","C_0805_2012Metric",3.367323,2.716535,18.000000,top
"C53","C_0805_0.1uf","C_0805_2012Metric",2.463825,3.876561,-96.000000,top
"C54","C_0805_0.1uf","C_0805_2012Metric",2.967323,3.284843,54.000000,top
"C55","C_0805_0.1uf","C_0805_2012Metric",0.835876,2.759843,-20.000000,top
"C56","C_0805_0.1uf","C_0805_2012Metric",1.631993,3.709843,-64.000000,top
"C57","C_0805_0.1uf","C_0805_2012Metric",2.642323,3.459843,90.000000,top
"C58","C_0805_0.1uf","C_0805_2012Metric",1.267323,3.459843,-56.000000,top
"C59","C_0805_0.1uf","C_0805_2012Metric",0.767323,2.309843,-2.000000,top
"C60","C_0805_0.1uf","C_0805_2012Metric",4.096304,1.293110,-30.000000,top
"C61","C_0805_0.1uf","C_0805_2012Metric",1.617323,3.284843,126.000000,top
"C62","C_0805_0.1uf","C_0805_2012Metric",0.817323,2.084843,9.000000,top
"C63","C_0805_0.1uf","C_0805_2012Metric",2.742323,0.309843,-72.000000,top
"C64","C_0805_0.1uf","C_0805_2012Metric",1.617323,1.459843,-127.000000,top
"C65","C_0805_0.1uf","C_0805_2012Metric",3.217323,3.034843,36.000000,top
"C66","C_0805_0.1uf","C_0805_2012Metric",3.270812,3.559207,-130.000000,top
"C67","C_0805_0.1uf","C_0805_2012Metric",1.605877,0.403396,-110.000000,top
"C68","C_0805_0.1uf","C_0805_2012Metric",3.417323,2.109843,0.000000,top
"C69","C_0805_0.1uf","C_0805_2012Metric",3.883858,2.434843,180.000000,top
"C70","C_0805_0.1uf","C_0805_2012Metric",2.917323,3.759843,-99.000000,top
"C71","C_0805_0.1uf","C_0805_2012Metric",3.589579,3.241129,-146.000000,top
"C72","C_0805_0.1uf","C_0805_2012Metric",1.217323,1.934843,180.000000,top
"D1","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.322835,4.119843,90.000000,top
"D2","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.573346,4.102325,82.000000,top
"D3","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.818982,4.050114,74.000000,top
"D4","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",3.054961,3.964224,66.000000,top
"D5","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",3.276689,3.846329,58.000000,top
"D6","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",3.479852,3.698723,50.000000,top
"D7","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",3.660495,3.524278,42.000000,top
"D8","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",3.815102,3.326390,34.000000,top
"D9","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",3.940664,3.108911,26.000000,top
"D10","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",4.034736,2.876073,18.000000,top
"D11","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",4.095489,2.632409,10.000000,top
"D12","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",4.121738,2.382662,2.000000,top
"D13","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",4.112974,2.131691,-6.000000,top
"D14","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",4.067323,1.884843,-14.000000,top
"D15","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",3.991766,1.645551,-22.000000,top
"D16","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",3.881680,1.419843,-30.000000,top
"D17","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",3.741254,1.211652,-38.000000,top
"D18","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",3.573220,1.025031,-46.000000,top
"D19","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",3.380848,0.863612,-54.000000,top
"D20","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",3.167883,0.730537,-62.000000,top
"D21","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.938471,0.628396,-70.000000,top
"D22","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.697076,0.559177,-78.000000,top
"D23","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.448396,0.524227,-86.000000,top
"D24","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.197273,0.524227,-94.000000,top
"D25","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.948594,0.559177,-102.000000,top
"D26","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.707198,0.628396,-110.000000,top
"D27","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.477786,0.730537,-118.000000,top
"D28","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.264821,0.863612,-126.000000,top
"D29","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.072450,1.025031,-134.000000,top
"D30","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",0.904415,1.211652,-142.000000,top
"D31","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",0.763989,1.419843,-150.000000,top
"D32","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",0.653904,1.645551,-158.000000,top
"D33","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",0.576302,1.884383,-166.000000,top
"D34","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",0.532695,2.131691,-174.000000,top
"D35","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",0.523931,2.382662,178.000000,top
"D36","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",0.550181,2.632409,170.000000,top
"D37","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",0.610933,2.876073,162.000000,top
"D38","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",0.705005,3.108911,154.000000,top
"D39","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",0.830567,3.326390,146.000000,top
"D40","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",0.985174,3.524278,138.000000,top
"D41","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.165817,3.698723,130.000000,top
"D42","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.368980,3.846329,122.000000,top
"D43","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.590709,3.964224,114.000000,top
"D44","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.826687,4.050114,106.000000,top
"D45","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.072323,4.102325,98.000000,top
"D46","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.298347,3.267717,90.000000,top
"D47","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.576462,3.223667,72.000000,top
"D48","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.827353,3.095832,54.000000,top
"D49","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",3.026462,2.896723,36.000000,top
"D50","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",3.154298,2.645832,18.000000,top
"D51","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",3.198347,2.367717,0.000000,top
"D52","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",3.154298,2.089601,-18.000000,top
"D53","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",3.026462,1.838710,-36.000000,top
"D54","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.827353,1.639601,-54.000000,top
"D55","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.576462,1.511766,-72.000000,top
"D56","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.298347,1.467717,-90.000000,top
"D57","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.020231,1.511766,-108.000000,top
"D58","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.769340,1.639601,-126.000000,top
"D59","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.570231,1.838710,-144.000000,top
"D60","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.442396,2.089601,-162.000000,top
"D61","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.398347,2.367717,180.000000,top
"D62","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.442396,2.645832,162.000000,top
"D63","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.570231,2.896723,144.000000,top
"D64","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.769340,3.095832,126.000000,top
"D65","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.020231,3.223667,108.000000,top
"D66","LED_0805","LED_0805_2012Metric",2.317323,3.584843,0.000000,top
"D100","LED_0805","LED_0805_2012Metric",2.842323,2.709843,180.000000,top
"J3","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",2.292323,3.034843,0.000000,top
"R1","R_0805_10K","R_0805_2012Metric",1.542323,0.934843,-39.000000,top
"R2","R_0805_10K","R_0805_2012Metric",3.092323,0.959843,-148.000000,top
"R3","R_0805_10K","R_0805_2012Metric",1.949150,0.774501,162.000000,top
"R4","R_0805_10K","R_0805_2012Metric",2.367323,0.719843,180.000000,top
"R5","R_0805_10K","R_0805_2012Metric",2.742323,0.784843,-162.000000,top
"R6","R_0805_47","R_0805_2012Metric",1.842323,2.009843,90.000000,top
"R7","R_0805_47","R_0805_2012Metric",1.942323,2.009843,90.000000,top
"R8","R_0805_2.2K","R_0805_2012Metric",2.317323,3.484843,0.000000,top
"R9","R_0805_1K","R_0805_2012Metric",2.917323,2.559843,0.000000,top
"R10","R_0805_4.7K","R_0805_2012Metric",1.267323,2.984843,0.000000,top
"R11","R_0805_4.7K","R_0805_2012Metric",1.842323,3.434843,180.000000,top
"SW1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",1.677953,1.181102,-126.000000,top
"SW2","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",1.973543,1.023622,-108.000000,top
"SW3","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",2.302795,0.972835,-90.000000,top
"SW4","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",2.637795,1.031102,-72.000000,top
"SW5","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",2.937795,1.181102,-54.000000,top
"U1","L7805","TO-252-2",3.458227,1.758615,-41.000000,top
"U2","DS1307_DIP-8","DIP-8_W7.62mm",2.157480,2.884843,-90.000000,top
"U3","TSOP38238_Horiz","Vishay_MINICAST-3Pin_Horiz",2.517323,2.588583,0.000000,top
"U4","ATmega328-PU","DIP-28_W7.62mm",1.647323,2.159843,90.000000,top
"Y1","Crystal_16MHz","Crystal_SMD_HC49-SD",2.622795,1.999843,180.000000,top
"Y2","Crystal_32768Hz","Crystal_SMD_2Pin_3.2x1.5mm",2.115984,2.984843,180.000000,top
